City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
505,Port Macquarie,AU,51.89,light rain,-31.4333,152.9167,Rydges Port Macquarie
514,Santa Vitoria Do Palmar,BR,57.87,few clouds,-33.5189,-53.3681,Hostel Comodoro
517,Khilok,RU,51.22,few clouds,51.3674,110.4676,"Gostevoy Dom ""Magnit"""
522,Tahe,CN,50.11,broken clouds,52.3333,124.7333,塔河宾馆
526,Ulladulla,AU,57.13,overcast clouds,-35.35,150.4667,Sandpiper Motel
537,Sovetskiy,RU,55.83,overcast clouds,61.3614,63.5842,Apartment on Kievskaya 29
539,Uzhur,RU,56.52,broken clouds,55.3036,89.8339,"Gostinitsa ""Turist"""
551,Petropavlovsk-Kamchatskiy,RU,50.59,fog,53.0452,158.6483,The Hotel Petropavlovsky
554,Pietermaritzburg,ZA,57.69,few clouds,-29.6168,30.3928,Redlands Hotel
564,Ostrov,RU,58.73,overcast clouds,57.3439,28.3537,Ostrov-Park
565,Husavik,IS,52.61,overcast clouds,66.0449,-17.3389,Bjarnabúð
569,Aksha,RU,56.16,overcast clouds,50.2814,113.2867,Vizit
581,Kirensk,RU,57.15,overcast clouds,57.7853,108.1119,Kirenskiy Plos
583,Whitehorse,CA,56.1,broken clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
589,Coffs Harbour,AU,56.14,moderate rain,-30.3,153.1333,Aquajet Motel
600,Morshyn,UA,56.43,scattered clouds,49.1565,23.8723,Resort Kiev Plus
603,Mackay,AU,58.68,scattered clouds,-21.15,149.2,International Lodge Motel
604,Coquimbo,CL,55.13,broken clouds,-29.9533,-71.3436,Hotel San Juan
609,Taltal,CL,59.18,overcast clouds,-25.4,-70.4833,Residencial Karime
613,Manzhouli,CN,57.65,broken clouds,49.6,117.4333,Angala International Youth Hostel
614,Havoysund,NO,52.03,light rain,70.9963,24.6622,Arctic View Glamping & Restaurant
616,Nelson Bay,AU,55.99,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
617,Constitucion,CL,54.9,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
619,Ostersund,SE,58.6,broken clouds,63.1792,14.6357,Best Western Hotel Gamla Teatern
629,Batemans Bay,AU,53.1,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
651,Matagami,CA,53.71,overcast clouds,49.7502,-77.6328,Motel Le Caribou
656,Yelniki,RU,59.92,clear sky,54.6207,43.876,Гостиница „Расвет”
